Titre,ABREVIATION,ADRESSE,CP,ARRDT,Téléphone,latitude,longitude
Direction Générale des Services,DGS,"Hôtel de ville, quai du port",13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.2962979,5.369197399999962
Direction du Secrétariat Général,DSG,"Hôtel de ville, quai du port",13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.2962979,5.369197399999962
Service Assemblées et Commissions,SAC,12 rue de la république,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2971462,5.373634300000049
Bataillon des Marins Pompiers,BMP,"9, boulevard de Strasbourg ",13233 Marseille cedex 20,3ème,,43.30635179999999,5.374941000000035
Direction des Ressources Humaines,DRH,"90, bd des dames",13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.30307210000001,5.367295600000034
Service des Carrières et de la Formation,SCF,"110, bd de la libération",13233 Marseille cedex 20,4ème,04 91 55 11 11 ,43.30074949999999,5.392270800000006
Service Gestion et Administration,SGA,"90, bd des dames",13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.30307210000001,5.367295600000034
Direction des Services Juridiques,DSJ,39 bis rue sainte,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2922658,5.374806600000056
Service des Assurances,SA,39 bis rue sainte,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2922658,5.374806600000056
Service du Contentieux,SC,39 bis rue sainte,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2922658,5.374806600000056
Service des Marchés Publics,SMP,39 bis rue sainte,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2922658,5.374806600000056
Direction de la Police Municipale et de la Sécurité,DPMS,223 bd de plombières,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.32068,5.376377899999966
Police Administrative,PA,1 rue Gilbert Dru,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.3019037,5.368290300000012
Service des Unités Opérationnelles,SUO,223 bd de plombière,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.32068,5.376377899999966
Service Fourrière,Fourrière,24 bd Ferdinand de Lesseps,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.3190557,5.372468900000058
Service Prévention de la Délinquance,SPD,40 avenue Roger Salengro,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.3103856,5.3732747000000245
Direction de la Prospective,DP,2 place François Mireur,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2987625,5.376141299999972
Direction de lÉvaluation des Politiques Publiques et Gestion Externalisée,DEPPGE,2 place François Mireur,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2987625,5.376141299999972
